isDGA,length,digits,entropy,vowel-cons,ngrams
1,27,0,3.9302703722934544,0.125,724.8639886039887
1,9,0,2.9477027792200903,0.5,1213.0489417989418
1,20,0,2.884183719779189,0.0,564.8263157894737
1,15,0,3.0565647621309537,0.36363636363636365,947.443956043956
1,12,0,3.2516291673878226,0.3333333333333333,911.439393939394
1,9,0,3.169925001442312,0.5,1441.6884920634923
1,28,10,3.937193208607594,0.2857142857142857,339.9085266585267
1,10,0,3.121928094887362,0.0,647.6925925925926
1,13,0,3.5465935642949384,0.18181818181818182,903.5203962703963
1,25,7,3.8332696895151073,0.6363636363636364,820.082149758454
1,26,7,4.008132025833399,0.46153846153846156,653.990811965812
1,14,0,3.521640636343319,0.16666666666666666,719.3830891330894
1,12,0,3.084962500721156,0.5,1250.1409090909092
1,12,0,3.418295834054489,0.2,760.9944444444445
1,12,0,3.084962500721156,0.09090909090909091,765.3227272727273
1,19,0,3.576617644908665,0.35714285714285715,1033.1408095401903
1,32,23,3.7150182662886326,0.125,239.9049059139785
1,13,0,3.3927474104487847,0.18181818181818182,1094.6270396270395
1,13,0,3.546593564294939,0.3,751.6120823620822
1,14,0,3.182005814760214,0.16666666666666666,805.8208180708181
1,25,5,3.913269689515107,0.17647058823529413,669.6591787439614
1,28,0,4.09306920777189,0.21739130434782608,929.3838013838014
1,24,0,3.6572682296173893,0.2631578947368421,912.4331906016687
1,32,19,3.5848683589017414,0.08333333333333333,285.53494623655916
1,23,0,3.882045108136863,0.15,833.8740824392999
1,26,0,3.76334248827185,0.08333333333333333,583.2244871794871
1,25,6,4.003856189774724,0.1875,648.4380917874397
1,25,8,4.023465189601645,0.3076923076923077,734.0330434782609
1,27,7,3.856196298219381,0.42857142857142855,713.9701614434948
1,25,6,4.293660689688185,0.26666666666666666,708.9780193236716
1,12,0,3.2516291673878226,0.09090909090909091,889.8303030303031
1,26,0,3.632192121571194,0.23809523809523808,777.7505128205129
1,23,0,3.5342190211803413,0.09523809523809523,659.3647970387101
1,21,0,3.52257158913636,0.10526315789473684,741.567209690894
1,32,20,3.203626767019874,0.09090909090909091,249.04334677419354
1,27,0,3.8100810205217313,0.038461538461538464,708.4922697056031
1,13,0,3.238901256602631,0.3,815.8704351204351
1,11,0,3.0957952550009344,0.5714285714285714,917.661952861953
1,15,0,3.7735572622751845,0.25,923.9131868131868
1,10,0,2.9219280948873623,0.6666666666666666,1249.2787037037037
1,26,9,3.921029621737614,0.3076923076923077,620.2482905982906
1,14,0,2.699513850319966,0.2727272727272727,696.5656288156288
1,13,0,3.238901256602631,0.4444444444444444,1072.005439005439
1,17,0,3.4548223999466066,0.3076923076923077,1007.3869281045753
1,14,0,2.9852281360342525,0.0,698.2811355311355
1,8,0,3.0,0.6,1466.0317460317463
1,25,10,3.733660689688185,0.5,481.75144927536235
1,32,19,3.819548827786958,0.4444444444444444,421.5547715053763
1,10,0,3.121928094887362,0.42857142857142855,1389.0305555555558
1,14,0,3.4677201004745006,0.5555555555555556,1222.0958485958486
1,26,13,4.2098671219040344,0.3,374.0530341880342
1,12,0,3.2516291673878226,0.2,1048.589898989899
